---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:41 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 24
flow.mgr.flows_notimeout                                     | Total                     | 24
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 1118208
http.memuse                                                  | Total                     | 4704
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:45 (uptime: 0d, 00h 01m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1994
capture.afpacket.polls                                       | Total                     | 5786
capture.afpacket.poll_timeout                                | Total                     | 5358
capture.afpacket.poll_data                                   | Total                     | 428
decoder.pkts                                                 | Total                     | 2170
decoder.bytes                                                | Total                     | 850508
decoder.ipv4                                                 | Total                     | 2170
decoder.ethernet                                             | Total                     | 2170
decoder.tcp                                                  | Total                     | 2170
tcp.syn                                                      | Total                     | 95
tcp.synack                                                   | Total                     | 94
decoder.avg_pkt_size                                         | Total                     | 391
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 94
flow.total                                                   | Total                     | 108
flow.active                                                  | Total                     | 107
flow.tcp                                                     | Total                     | 108
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 95
tcp.ssn_from_pool                                            | Total                     | 95
tcp.segment_from_cache                                       | Total                     | 764
tcp.segment_from_pool                                        | Total                     | 72
tcp.overlap                                                  | Total                     | 19
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
app_layer.flow.tls                                           | Total                     | 80
flow.end.state.closed                                        | Total                     | 1
flow.end.tcp_state.closed                                    | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 6
